trial_turn	event_id	turn_id	trace_id	session_id	user_subject	event_sequence	event_type	payload_json	created_at
1	6a15446a-75e2-40f3-bdac-19d5aa4dddd3	329d4627-1741-42e0-b38a-c7c6b4c7a573	2bf82d79-994d-428d-b7bf-00c4dc176cc0	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	1	USER_INPUT	{"accepted": true}	2026-09-01 09:41:47.381511
1	d51e5ab9-22cb-4ed9-a3a1-e44a0a94f364	329d4627-1741-42e0-b38a-c7c6b4c7a573	2bf82d79-994d-428d-b7bf-00c4dc176cc0	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	2	CONTEXT_WINDOW	{"tokenBudget": 6144, "policyVersion": "session-context-v1", "includedTokens": 0, "tokenEstimator": "utf8-bytes-v1", "tokenWatermark": "low", "candidateTokens": 0, "includedTurnIds": [], "loadedTurnCount": 0, "olderTurnsAvailable": false, "omittedLoadedTurnCount": 0}	2026-09-01 09:41:52.275723
1	3af4e938-5866-4600-b21f-71151ca2d08e	329d4627-1741-42e0-b38a-c7c6b4c7a573	2bf82d79-994d-428d-b7bf-00c4dc176cc0	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	3	ROUTING_DECISION	{"tier": "standard", "signals": {"chitchat": false, "refundContext": true, "refundContextSource": "current"}, "toolProfile": "all", "attemptLimit": 16, "sessionPropagationEnabled": true}	2026-09-01 09:41:52.276109
1	173c35a4-40e9-425c-82c7-ac55094fb87f	329d4627-1741-42e0-b38a-c7c6b4c7a573	2bf82d79-994d-428d-b7bf-00c4dc176cc0	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	4	BUDGET_CHARGED	{"kind": "model_http", "limit": 16, "target": "primary", "attempt": 1}	2026-09-01 09:41:52.276386
1	c0845c62-375c-4f6f-b3ff-a74883159917	329d4627-1741-42e0-b38a-c7c6b4c7a573	2bf82d79-994d-428d-b7bf-00c4dc176cc0	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	5	CIRCUIT_OUTCOME	{"state": "closed", "provider": "primary"}	2026-09-01 09:41:52.276637
1	20f1c998-4bf5-4ccc-bb83-fb0836dc9d80	329d4627-1741-42e0-b38a-c7c6b4c7a573	2bf82d79-994d-428d-b7bf-00c4dc176cc0	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	6	MODEL_OUTCOME	{"alias": "gpt-5.4", "result": "ok", "provider": "primary"}	2026-09-01 09:41:52.277983
1	36012b1b-9514-42fd-8f2f-a9f3ccb9ae5e	329d4627-1741-42e0-b38a-c7c6b4c7a573	2bf82d79-994d-428d-b7bf-00c4dc176cc0	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	7	AGENT_OUTCOME	{"outcome": "completed"}	2026-09-01 09:41:52.278234
1	37f874f6-9b73-4ffc-9ade-1da8bf1d8e4d	329d4627-1741-42e0-b38a-c7c6b4c7a573	2bf82d79-994d-428d-b7bf-00c4dc176cc0	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	8	ASSISTANT_RESPONSE	{"outcome": "completed"}	2026-09-01 09:41:52.278501
1	7ee81a28-49c8-4ec4-9e00-c0bac8344c17	329d4627-1741-42e0-b38a-c7c6b4c7a573	2bf82d79-994d-428d-b7bf-00c4dc176cc0	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	9	TURN_COMPLETED	{"outcome": "completed"}	2026-09-01 09:41:52.278765
2	a87ed798-e252-4046-ab9f-c3323fb9e5f3	312375c4-7dce-411d-a3f7-03a43cdb88bb	b1f3b03a-bf68-4285-a4ba-172baa76af30	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	1	USER_INPUT	{"accepted": true}	2026-09-01 09:41:52.299521
2	c278aff3-9980-4266-8333-7dcb8c21f65f	312375c4-7dce-411d-a3f7-03a43cdb88bb	b1f3b03a-bf68-4285-a4ba-172baa76af30	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	2	CONTEXT_WINDOW	{"tokenBudget": 6144, "policyVersion": "session-context-v1", "includedTokens": 302, "tokenEstimator": "utf8-bytes-v1", "tokenWatermark": "low", "candidateTokens": 302, "includedTurnIds": ["329d4627-1741-42e0-b38a-c7c6b4c7a573"], "loadedTurnCount": 1, "olderTurnsAvailable": false, "omittedLoadedTurnCount": 0}	2026-09-01 09:41:55.570171
2	48602212-1851-4fc8-8732-4763d1a95783	312375c4-7dce-411d-a3f7-03a43cdb88bb	b1f3b03a-bf68-4285-a4ba-172baa76af30	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	3	ROUTING_DECISION	{"tier": "standard", "signals": {"chitchat": false, "refundContext": true, "refundContextSource": "session"}, "toolProfile": "all", "attemptLimit": 16, "sessionPropagationEnabled": true}	2026-09-01 09:41:55.571132
2	5b331a3a-2ee5-4877-8ede-37b15261d599	312375c4-7dce-411d-a3f7-03a43cdb88bb	b1f3b03a-bf68-4285-a4ba-172baa76af30	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	4	BUDGET_CHARGED	{"kind": "model_http", "limit": 16, "target": "primary", "attempt": 1}	2026-09-01 09:41:55.571914
2	97e22670-a5da-4232-afa9-3f1193f4f0fe	312375c4-7dce-411d-a3f7-03a43cdb88bb	b1f3b03a-bf68-4285-a4ba-172baa76af30	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	5	CIRCUIT_OUTCOME	{"state": "closed", "provider": "primary"}	2026-09-01 09:41:55.572813
2	bd87943f-098d-4265-a352-9de45f75a0e0	312375c4-7dce-411d-a3f7-03a43cdb88bb	b1f3b03a-bf68-4285-a4ba-172baa76af30	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	6	MODEL_OUTCOME	{"alias": "gpt-5.4", "result": "ok", "provider": "primary"}	2026-09-01 09:41:55.573557
2	7acfbc6b-f9a3-438b-b3de-1120a890a4d7	312375c4-7dce-411d-a3f7-03a43cdb88bb	b1f3b03a-bf68-4285-a4ba-172baa76af30	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	7	AGENT_OUTCOME	{"outcome": "completed"}	2026-09-01 09:41:55.574204
2	fd3eb118-34ba-4d72-93d4-c65cf32bc9f5	312375c4-7dce-411d-a3f7-03a43cdb88bb	b1f3b03a-bf68-4285-a4ba-172baa76af30	Lg1YdYrkCT73doTKj8KUQskWWJqmXjZjejDbfc3shws	eval-5ef3898e-ff0d-4dfa-9821-b434349c98fd	8	ASSISTANT_RESPONSE	{"outcome": "completed"}	2026-09-01 09:41:55.574782
