trial_turn	event_id	turn_id	trace_id	session_id	user_subject	event_sequence	event_type	payload_json	created_at
1	94f688e3-1437-4bf4-b0b6-3cf05c61f0e9	1787e53c-fb32-4f9a-be02-86a4635d0302	318f70bf-a34e-4103-8054-a2624a49414b	pbc8TpwqRurrsTOA-qe3sxTVUOB2kTquAfYVTgBfgwo	eval-adef363e-aad8-462a-8769-b4980828d10e	1	USER_INPUT	{"accepted": true}	2026-09-01 07:59:14.627379
1	b7544372-ad18-480c-9d6a-ddb55e167b14	1787e53c-fb32-4f9a-be02-86a4635d0302	318f70bf-a34e-4103-8054-a2624a49414b	pbc8TpwqRurrsTOA-qe3sxTVUOB2kTquAfYVTgBfgwo	eval-adef363e-aad8-462a-8769-b4980828d10e	2	CONTEXT_WINDOW	{"tokenBudget": 6144, "policyVersion": "session-context-v1", "includedTokens": 0, "tokenEstimator": "utf8-bytes-v1", "tokenWatermark": "low", "candidateTokens": 0, "includedTurnIds": [], "loadedTurnCount": 0, "olderTurnsAvailable": false, "omittedLoadedTurnCount": 0}	2026-09-01 07:59:18.835659
1	9a198816-5f84-4f9d-945f-e919f3e41e67	1787e53c-fb32-4f9a-be02-86a4635d0302	318f70bf-a34e-4103-8054-a2624a49414b	pbc8TpwqRurrsTOA-qe3sxTVUOB2kTquAfYVTgBfgwo	eval-adef363e-aad8-462a-8769-b4980828d10e	3	ROUTING_DECISION	{"tier": "standard", "signals": {"chitchat": false, "refundContext": true, "refundContextSource": "current"}, "toolProfile": "all", "attemptLimit": 16, "sessionPropagationEnabled": true}	2026-09-01 07:59:18.836779
1	c9b7b4b3-ade7-44a8-b205-3c3a22ba7dcb	1787e53c-fb32-4f9a-be02-86a4635d0302	318f70bf-a34e-4103-8054-a2624a49414b	pbc8TpwqRurrsTOA-qe3sxTVUOB2kTquAfYVTgBfgwo	eval-adef363e-aad8-462a-8769-b4980828d10e	4	BUDGET_CHARGED	{"kind": "model_http", "limit": 16, "target": "primary", "attempt": 1}	2026-09-01 07:59:18.837476
1	b6cf6b28-fdc0-4f1d-979c-ec176bbe70a9	1787e53c-fb32-4f9a-be02-86a4635d0302	318f70bf-a34e-4103-8054-a2624a49414b	pbc8TpwqRurrsTOA-qe3sxTVUOB2kTquAfYVTgBfgwo	eval-adef363e-aad8-462a-8769-b4980828d10e	5	CIRCUIT_OUTCOME	{"state": "closed", "provider": "primary"}	2026-09-01 07:59:18.838429
1	5025f7b6-9c87-40a1-86ba-2fdaa1c74288	1787e53c-fb32-4f9a-be02-86a4635d0302	318f70bf-a34e-4103-8054-a2624a49414b	pbc8TpwqRurrsTOA-qe3sxTVUOB2kTquAfYVTgBfgwo	eval-adef363e-aad8-462a-8769-b4980828d10e	6	MODEL_OUTCOME	{"alias": "gpt-5.4", "result": "ok", "provider": "primary"}	2026-09-01 07:59:18.839658
1	b6539f6f-3303-4e45-9546-6fa7744d94f9	1787e53c-fb32-4f9a-be02-86a4635d0302	318f70bf-a34e-4103-8054-a2624a49414b	pbc8TpwqRurrsTOA-qe3sxTVUOB2kTquAfYVTgBfgwo	eval-adef363e-aad8-462a-8769-b4980828d10e	7	AGENT_OUTCOME	{"outcome": "completed"}	2026-09-01 07:59:18.840661
1	43c8f9cb-a7ed-499d-a2e4-4a8987d0a601	1787e53c-fb32-4f9a-be02-86a4635d0302	318f70bf-a34e-4103-8054-a2624a49414b	pbc8TpwqRurrsTOA-qe3sxTVUOB2kTquAfYVTgBfgwo	eval-adef363e-aad8-462a-8769-b4980828d10e	8	ASSISTANT_RESPONSE	{"outcome": "completed"}	2026-09-01 07:59:18.841430
1	e992b7a6-7b8e-4d13-9230-71b625f8eee4	1787e53c-fb32-4f9a-be02-86a4635d0302	318f70bf-a34e-4103-8054-a2624a49414b	pbc8TpwqRurrsTOA-qe3sxTVUOB2kTquAfYVTgBfgwo	eval-adef363e-aad8-462a-8769-b4980828d10e	9	TURN_COMPLETED	{"outcome": "completed"}	2026-09-01 07:59:18.841953
2	18f63663-3e6b-41e9-9114-79e68fce58b2	a9602388-9a69-49a1-a3a0-293965a26c3d	7f14ff16-0d2b-4285-a7a7-e0a6b1395f91	pbc8TpwqRurrsTOA-qe3sxTVUOB2kTquAfYVTgBfgwo	eval-adef363e-aad8-462a-8769-b4980828d10e	1	USER_INPUT	{"accepted": true}	2026-09-01 07:59:18.877486
